new york, new york,1897,1640,1363
nassau, new york,425,304,175
westchester, new york,0,0,0
suffolk, new york,499,404,302
rockland, new york,0,0,0
orange, new york,123,100,75
albany, new york,22,22,22
dutchess, new york,47,34,20
monroe, new york,11,8,4
erie, new york,47,41,35
onondaga, new york,0,0,0
saratoga, new york,0,0,0
schenectady, new york,12,13,14
putnam, new york,21,20,19
rensselaer, new york,5,6,6
ulster, new york,38,37,36
columbia, new york,2,2,2
tompkins, new york,0,0,0
sullivan, new york,21,22,22
niagara, new york,7,6,5
oneida, new york,12,10,9
ontario, new york,1,0,0
clinton, new york,0,0,0
herkimer, new york,1,1,1
broome, new york,8,7,7
montgomery, new york,1,1,1
essex, new york,1,1,1
wayne, new york,0,0,0
greene, new york,5,5,5
allegany, new york,0,0,0
wyoming, new york,1,0,0
hamilton, new york,0,0,0
chenango, new york,1,0,0
steuben, new york,8,7,7
livingston, new york,0,0,0
cortland, new york,0,0,0
delaware, new york,1,1,1
tioga, new york,2,2,2
genesee, new york,8,8,8
warren, new york,6,6,6
washington, new york,4,4,5
schoharie, new york,0,0,0
fulton, new york,1,1,1
jefferson, new york,0,0,0
king, washington,0,0,0
snohomish, washington,0,0,0
pierce, washington,8,5,1
skagit, washington,0,0,0
island, washington,0,0,0
spokane, washington,0,0,0
grant, washington,0,0,0
kitsap, washington,0,0,0
yakima, washington,33,33,32
whatcom, washington,0,0,0
thurston, washington,0,0,0
clark, washington,0,0,0
benton, washington,15,17,19
jefferson, washington,0,0,0
kittitas, washington,0,0,0
klickitat, washington,0,0,0
clallam, washington,0,0,0
cowlitz, washington,0,0,0
chelan, washington,3,3,3
franklin, washington,23,26,28
lewis, washington,0,0,0
grays harbor, washington,0,0,0
columbia, washington,0,0,0
lincoln, washington,0,0,0
mason, washington,0,0,0
stevens, washington,0,0,0
san juan, washington,0,0,0
whitman, washington,0,0,0
bergen, new jersey,249,203,153
essex, new jersey,403,376,346
monmouth, new jersey,47,22,0
middlesex, new jersey,313,282,249
hudson, new jersey,471,436,399
union, new jersey,439,413,384
morris, new jersey,106,86,63
ocean, new jersey,94,73,51
passaic, new jersey,308,271,232
somerset, new jersey,93,84,74
mercer, new jersey,151,147,143
burlington, new jersey,90,89,87
camden, new jersey,152,154,157
hunterdon, new jersey,8,6,4
sussex, new jersey,20,18,15
warren, new jersey,28,26,24
gloucester, new jersey,37,36,35
atlantic, new jersey,31,32,32
cape may, new jersey,11,10,9
cumberland, new jersey,30,31,32
salem, new jersey,8,8,8
los angeles, california,586,619,652
santa clara, california,0,0,0
san diego, california,26,18,9
san mateo, california,1,1,1
san francisco, california,15,14,13
orange, california,9,6,2
alameda, california,27,26,26
contra costa, california,9,8,7
sacramento, california,14,10,5
marin, california,0,0,0
san joaquin, california,9,10,10
riverside, california,160,158,155
san luis obispo, california,0,0,0
ventura, california,4,3,1
sonoma, california,0,0,0
san bernardino, california,92,94,96
santa cruz, california,0,0,0
solano, california,5,4,4
santa barbara, california,14,13,13
placer, california,0,0,0
tulare, california,25,24,22
monterey, california,5,5,6
yolo, california,8,7,7
fresno, california,17,17,18
imperial, california,9,9,10
san benito, california,0,0,0
stanislaus, california,12,13,13
kern, california,32,30,29
madera, california,0,0,0
humboldt, california,0,0,0
calaveras, california,1,1,0
siskiyou, california,0,0,0
yuba, california,0,0,0
shasta, california,0,0,0
nevada, california,0,0,0
mendocino, california,0,0,0
amador, california,0,0,0
mono, california,0,0,0
butte, california,0,0,0
napa, california,1,1,0
cook, illinois,978,965,949
dupage, illinois,80,79,78
lake, illinois,99,97,94
will, illinois,66,58,49
kane, illinois,30,31,33
mchenry, illinois,15,15,14
mclean, illinois,1,0,0
sangamon, illinois,3,3,2
winnebago, illinois,16,17,18
kendall, illinois,6,5,5
st. clair, illinois,14,13,12
clinton, illinois,3,2,2
peoria, illinois,2,2,2
woodford, illinois,0,0,0
madison, illinois,11,11,11
kankakee, illinois,12,10,8
champaign, illinois,0,0,0
cumberland, illinois,0,0,0
whiteside, illinois,2,2,2
jackson, illinois,3,3,3
williamson, illinois,1,1,1
lasalle, illinois,1,1,1
washington, illinois,1,1,1
adams, illinois,3,3,2
christian, illinois,0,0,0
dekalb, illinois,2,2,2
jo daviess, illinois,0,0,0
stephenson, illinois,1,1,1
livingston, illinois,1,0,0
rock island, illinois,17,18,18
wayne, michigan,0,0,0
oakland, michigan,59,26,0
macomb, michigan,108,88,66
washtenaw, michigan,0,0,0
kent, michigan,40,44,48
genesee, michigan,38,31,24
ingham, michigan,4,3,2
livingston, michigan,5,4,3
st. clair, michigan,10,8,6
monroe, michigan,3,2,1
ottawa, michigan,5,6,7
midland, michigan,2,2,2
berrien, michigan,6,6,6
charlevoix, michigan,0,0,0
clinton, michigan,0,0,0
eaton, michigan,1,1,1
calhoun, michigan,10,10,10
saginaw, michigan,22,21,20
montcalm, michigan,0,0,0
bay, michigan,4,4,4
leelanau, michigan,1,1,1
otsego, michigan,3,4,5
jackson, michigan,12,12,13
barry, michigan,2,2,2
wexford, michigan,0,0,0
clare, michigan,1,1,1
allegan, michigan,4,4,4
tuscola, michigan,3,3,2
