new york, new york,1132,1136,1138
nassau, new york,102,99,97
westchester, new york,60,57,55
suffolk, new york,63,63,62
rockland, new york,29,29,28
orange, new york,14,13,12
albany, new york,1,1,1
dutchess, new york,2,2,2
monroe, new york,5,5,5
erie, new york,14,14,16
onondaga, new york,1,2,2
saratoga, new york,0,0,0
schenectady, new york,1,1,1
putnam, new york,0,0,0
rensselaer, new york,0,0,0
ulster, new york,1,1,1
columbia, new york,1,1,1
tompkins, new york,0,0,0
sullivan, new york,1,1,1
niagara, new york,2,2,2
oneida, new york,1,1,1
ontario, new york,0,0,0
clinton, new york,0,0,0
herkimer, new york,0,0,0
broome, new york,0,0,0
montgomery, new york,0,0,0
essex, new york,0,0,0
wayne, new york,0,0,0
greene, new york,0,0,0
allegany, new york,0,0,0
wyoming, new york,0,0,0
hamilton, new york,0,0,0
chenango, new york,0,0,0
steuben, new york,3,3,3
livingston, new york,0,0,0
cortland, new york,0,0,0
delaware, new york,0,0,0
tioga, new york,0,0,0
genesee, new york,0,0,0
warren, new york,0,0,0
washington, new york,0,0,0
schoharie, new york,0,0,0
fulton, new york,0,0,0
jefferson, new york,0,0,0
king, washington,0,0,0
snohomish, washington,1,1,0
pierce, washington,2,2,2
skagit, washington,0,0,0
island, washington,0,0,0
spokane, washington,0,0,0
grant, washington,0,0,0
kitsap, washington,0,0,0
yakima, washington,2,2,2
whatcom, washington,0,0,0
thurston, washington,0,0,0
clark, washington,0,0,0
benton, washington,1,1,0
jefferson, washington,0,0,0
kittitas, washington,0,0,0
klickitat, washington,0,0,0
clallam, washington,0,0,0
cowlitz, washington,0,0,0
chelan, washington,0,0,0
franklin, washington,0,0,0
lewis, washington,0,0,0
grays harbor, washington,0,0,0
columbia, washington,0,0,0
lincoln, washington,0,0,0
mason, washington,0,0,0
stevens, washington,0,0,0
san juan, washington,0,0,0
whitman, washington,0,0,0
bergen, new jersey,49,46,42
essex, new jersey,50,46,42
monmouth, new jersey,15,14,13
middlesex, new jersey,22,21,20
hudson, new jersey,60,64,67
union, new jersey,29,28,27
morris, new jersey,17,16,15
ocean, new jersey,12,11,10
passaic, new jersey,20,19,19
somerset, new jersey,13,13,13
mercer, new jersey,11,11,11
burlington, new jersey,5,5,5
camden, new jersey,7,7,7
hunterdon, new jersey,2,2,1
sussex, new jersey,5,5,5
warren, new jersey,4,4,4
gloucester, new jersey,2,2,2
atlantic, new jersey,2,2,2
cape may, new jersey,1,1,1
cumberland, new jersey,0,0,0
salem, new jersey,0,0,0
los angeles, california,50,52,54
santa clara, california,1,1,1
san diego, california,4,3,3
san mateo, california,0,0,0
san francisco, california,0,0,0
orange, california,1,1,1
alameda, california,2,2,2
contra costa, california,1,2,2
sacramento, california,1,1,1
marin, california,0,0,0
san joaquin, california,0,0,0
riverside, california,6,6,6
san luis obispo, california,0,0,0
ventura, california,0,0,0
sonoma, california,0,0,0
san bernardino, california,5,6,6
santa cruz, california,0,0,0
solano, california,0,0,0
santa barbara, california,0,0,0
placer, california,0,0,0
tulare, california,1,1,1
monterey, california,0,0,0
yolo, california,1,1,1
fresno, california,1,0,0
imperial, california,0,0,0
san benito, california,0,0,0
stanislaus, california,0,0,0
kern, california,0,0,0
madera, california,0,0,0
humboldt, california,0,0,0
calaveras, california,0,0,0
siskiyou, california,0,0,0
yuba, california,0,0,0
shasta, california,0,0,0
nevada, california,0,0,0
mendocino, california,0,0,0
amador, california,0,0,0
mono, california,0,0,0
butte, california,0,0,0
napa, california,0,0,0
cook, illinois,75,77,79
dupage, illinois,7,7,7
lake, illinois,7,7,7
will, illinois,8,7,7
kane, illinois,1,1,1
mchenry, illinois,2,2,2
mclean, illinois,0,0,0
sangamon, illinois,0,0,0
winnebago, illinois,0,0,0
kendall, illinois,0,0,0
st. clair, illinois,2,2,2
clinton, illinois,0,0,0
peoria, illinois,0,0,0
woodford, illinois,0,0,0
madison, illinois,1,1,2
kankakee, illinois,1,1,1
champaign, illinois,0,0,0
cumberland, illinois,0,0,0
whiteside, illinois,0,0,0
jackson, illinois,1,1,1
williamson, illinois,0,0,0
lasalle, illinois,0,0,0
washington, illinois,0,0,0
adams, illinois,0,0,0
christian, illinois,0,0,0
dekalb, illinois,0,0,0
jo daviess, illinois,0,0,0
stephenson, illinois,0,0,0
livingston, illinois,0,0,0
rock island, illinois,0,0,0
wayne, michigan,64,60,56
oakland, michigan,22,20,19
macomb, michigan,30,30,30
washtenaw, michigan,2,2,3
kent, michigan,2,2,2
genesee, michigan,10,10,10
ingham, michigan,0,0,0
livingston, michigan,1,1,1
st. clair, michigan,1,2,2
monroe, michigan,1,1,1
ottawa, michigan,1,1,1
midland, michigan,0,0,0
berrien, michigan,1,1,1
charlevoix, michigan,0,0,0
clinton, michigan,1,1,1
eaton, michigan,0,0,0
calhoun, michigan,0,0,0
saginaw, michigan,3,3,4
montcalm, michigan,0,0,0
bay, michigan,0,0,0
leelanau, michigan,0,0,0
otsego, michigan,1,1,1
jackson, michigan,1,1,1
barry, michigan,0,0,0
wexford, michigan,0,0,0
clare, michigan,0,0,0
allegan, michigan,0,0,0
tuscola, michigan,1,1,1
gladwin, michigan,0,0,0
emmet, michigan,0,0,0
grand traverse, michigan,0,0,0
roscommon, michigan,0,0,0
miami-dade, florida,20,20,21
broward, florida,7,7,6
palm beach, florida,6,6,5
hillsborough, florida,1,1,1
duval, florida,0,0,0
pinellas, florida,0,0,0
alachua, florida,0,0,0
collier, florida,1,1,1
orange, florida,2,2,2
